passport_label|connected_gen_vectors
text|jsonb

3.2-1.0.2.2.2.2.2.2.2.2.1|['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
3.3-1.0.3.3.3.3.3.1|['a', 'a', 'a', 'a', 'a^2']
3.3-1.0.3.3.3.3.3.2|['a', 'a^2', 'a^2', 'a^2', 'a^2']
3.4-1.0.4.4.4.4.1|['a', 'a', 'a', 'a']
3.4-1.0.4.4.4.4.2|['a', 'a', 'a^-1', 'a^-1']
3.4-1.0.4.4.4.4.3|['a^-1', 'a^-1', 'a^-1', 'a^-1']
3.4-1.0.2.2.2.4.4.1|['a^-2', 'a^-2', 'a^-2', 'a', 'a']
3.4-1.0.2.2.2.4.4.2|['a^-2', 'a^-2', 'a^-2', 'a^-1', 'a^-1']
3.4-2.0.2.2.2.2.2.2.1|['b', 'b', 'b', 'b', 'a', 'a']
3.4-2.0.2.2.2.2.2.2.2|['b', 'b', 'b', 'b', 'ba', 'ba']
3.4-2.0.2.2.2.2.2.2.3|['b', 'b', 'a', 'a', 'a', 'a']
3.4-2.0.2.2.2.2.2.2.4|['b', 'b', 'a', 'a', 'ba', 'ba']
3.4-2.0.2.2.2.2.2.2.5|['b', 'b', 'ba', 'ba', 'ba', 'ba']
3.4-2.0.2.2.2.2.2.2.6|['a', 'a', 'a', 'a', 'ba', 'ba']
3.4-2.0.2.2.2.2.2.2.7|['a', 'a', 'ba', 'ba', 'ba', 'ba']
3.6-2.0.2.3.3.6.1|['a^3', 'a^4', 'a^4', 'a']
3.6-2.0.2.3.3.6.2|['a^3', 'a^2', 'a^2', 'a^5']
3.6-2.0.2.2.6.6.1|['a^3', 'a^3', 'a', 'a^5']
3.6-1.0.2.2.2.2.3.1|['a', 'a', 'a', 'ba', 'b^2']
3.6-1.0.2.2.2.2.3.2|['a', 'a', 'ba', 'a', 'b']
3.6-1.0.2.2.2.2.3.3|['a', 'a', 'ba', 'b^2a', 'b^2']
3.6-1.0.2.2.2.2.3.4|['a', 'ba', 'a', 'a', 'b^2']
3.6-1.0.2.2.2.2.3.5|['a', 'ba', 'a', 'ba', 'b']
3.6-1.0.2.2.2.2.3.6|['a', 'ba', 'ba', 'ba', 'b^2']
3.6-1.0.2.2.2.2.3.7|['a', 'ba', 'ba', 'b^2a', 'b']
3.6-1.0.2.2.2.2.3.8|['a', 'ba', 'b^2a', 'a', 'b']
3.6-1.0.2.2.2.2.3.9|['a', 'ba', 'b^2a', 'b^2a', 'b^2']
3.7-1.0.7.7.7.1|['a', 'a', 'a^5']
3.7-1.0.7.7.7.2|['a', 'a^2', 'a^4']
3.7-1.0.7.7.7.3|['a', 'a^3', 'a^3']
3.7-1.0.7.7.7.4|['a^2', 'a^2', 'a^3']
3.7-1.0.7.7.7.5|['a^2', 'a^6', 'a^6']
3.7-1.0.7.7.7.6|['a^3', 'a^5', 'a^6']
3.7-1.0.7.7.7.7|['a^4', 'a^4', 'a^6']
3.7-1.0.7.7.7.8|['a^4', 'a^5', 'a^5']
3.8-1.0.4.8.8.1|['a^2', 'a', 'a^-3']
3.8-1.0.4.8.8.2|['a^2', 'a^3', 'a^3']
3.8-1.0.4.8.8.3|['a^2', 'a^-1', 'a^-1']
3.8-1.0.4.8.8.4|['a^-2', 'a', 'a']
3.8-1.0.4.8.8.5|['a^-2', 'a^3', 'a^-1']
3.8-1.0.4.8.8.6|['a^-2', 'a^-3', 'a^-3']
3.8-2.0.2.2.4.4.1|['b^-2', 'a', 'b', 'ba']
3.8-2.0.2.2.4.4.2|['b^-2', 'a', 'b^-1', 'b^-1a']
3.8-2.0.2.2.4.4.3|['b^-2', 'b^-2a', 'b', 'b^-1a']
3.8-2.0.2.2.4.4.4|['b^-2', 'b^-2a', 'b^-1', 'ba']
3.8-2.0.2.2.4.4.5|['a', 'a', 'b', 'b^-1']
3.8-2.0.2.2.4.4.6|['a', 'a', 'ba', 'b^-1a']
3.8-2.0.2.2.4.4.7|['a', 'b^-2a', 'b', 'b']
3.8-2.0.2.2.4.4.8|['a', 'b^-2a', 'b^-1', 'b^-1']
3.8-2.0.2.2.4.4.9|['a', 'b^-2a', 'ba', 'ba']
3.8-2.0.2.2.4.4.10|['a', 'b^-2a', 'b^-1a', 'b^-1a']
3.8-2.0.2.2.4.4.11|['b^-2a', 'b^-2a', 'b', 'b^-1']
3.8-2.0.2.2.4.4.12|['b^-2a', 'b^-2a', 'ba', 'b^-1a']
3.8-3.0.2.2.4.4.1|['a', 'a', 'b', 'b^-1']
3.8-3.0.2.2.4.4.2|['a', 'b^-2a', 'b', 'b']
3.8-3.0.2.2.4.4.3|['b^-1a', 'b^-1a', 'b', 'b^-1']
3.8-3.0.2.2.4.4.4|['b^-1a', 'ba', 'b', 'b']
3.8-3.0.2.2.2.2.2.1|['b^-2', 'a', 'a', 'b^-1a', 'ba']
3.8-3.0.2.2.2.2.2.2|['b^-2', 'a', 'b^-2a', 'b^-1a', 'b^-1a']
3.8-5.0.2.2.2.2.2.1|['c', 'c', 'b', 'a', 'ba']
3.8-5.0.2.2.2.2.2.2|['c', 'c', 'b', 'ca', 'cba']
